volcano_number,volcano_name,country,latitude,longitude,vei,start_year,start_day,eruption_times,eruption_start_time,eruption_start_time_numeric,eruption_start_time_numeric_full,eruption_frequency,primary_volcano_type
283001,Abu,Japan,34.5,131.6,2.0,-6850.0,0.0,1,6850-BCE-00-00,-6850.083333333333,-6849.997260273973,Low (0-2),Shield
342080,Acatenango,Guatemala,14.501,-90.876,1.0,1972.0,12.0,8,1972-11-12,1972.8661848445029,1972.866210045662,Medium (3-10),Stratovolcanoes
213004,Acigol-Nevsehir,Turkey,38.537,34.621,2.0,-2080.0,0.0,5,2080-BCE-00-00,-2080.083333333333,-2079.9972602739726,Medium (3-10),Calderas
321040,Adams,United States,46.206,-121.49,2.0,950.0,0.0,15,0950-00-00,949.9166666666666,950.0027397260274,High (>10),Stratovolcanoes
283170,Adatarayama,Japan,37.647,140.281,1.0,1996.0,1.0,13,1996-09-01,1996.6694042925972,1996.669406392694,High (>10),Stratovolcanoes
221170,Adwa,Ethiopia,10.07,40.84,2.0,1928.0,0.0,2,1928-00-00,1927.9166666666667,1928.0027397260276,Low (0-2),Stratovolcanoes
284160,Agrigan,United States,18.77,145.67,4.0,1917.0,9.0,1,1917-04-09,1917.2746386333768,1917.274657534247,Low (0-2),Stratovolcanoes
342100,Agua,Guatemala,14.465,-90.743,2.0,1541.0,11.0,1,1541-09-11,1541.6967805519057,1541.696803652968,Low (0-2),Stratovolcanoes
382090,Agua de Pau,Portugal,37.77,-25.47,2.0,1564.0,10.0,10,1564-02-10,1564.1107095926411,1564.1107305936073,Medium (3-10),Stratovolcanoes
358062,Aguilera,Chile,-50.33,-73.75,5.0,-1250.0,0.0,2,1250-BCE-00-00,-1250.0833333333333,-1249.9972602739726,Low (0-2),Stratovolcanoes
264020,Agung,Indonesia,-8.343,115.508,3.0,2017.0,21.0,5,2017-11-21,2017.89082347788,2017.890867579909,Medium (3-10),Stratovolcanoes
284141,Ahyi,United States,20.42,145.03,0.0,2014.0,24.0,3,2014-04-24,2014.315703022339,2014.3157534246573,Medium (3-10),Others
282080,Aira,Japan,31.593,130.657,1.0,2017.0,25.0,54,2017-03-25,2017.2351073149364,2017.235159817352,High (>10),Calderas
300125,Akademia Nauk,Russia,53.98,159.45,3.0,1996.0,2.0,4,1996-01-02,1996.0054752518613,1996.0054794520547,Medium (3-10),Stratovolcanoes
283130,Akagisan,Japan,36.56,139.193,2.0,1938.0,16.0,2,1938-07-16,1938.543802014893,1938.5438356164384,Low (0-2),Stratovolcanoes
285070,Akan,Japan,43.384,144.013,1.0,2008.0,18.0,37,2008-11-18,2008.882610600088,2008.8826484018264,High (>10),Calderas
283230,Akita-Komagatake,Japan,39.761,140.799,2.0,1970.0,18.0,18,1970-09-18,1970.715943933421,1970.71598173516,High (>10),Stratovolcanoes
283260,Akita-Yakeyama,Japan,39.964,140.757,1.0,1997.0,16.0,17,1997-08-16,1997.627135348226,1997.627168949772,High (>10),Stratovolcanoes
311320,Akutan,United States,54.134,-165.986,1.0,1992.0,18.0,47,1992-12-18,1992.965943933421,1992.96598173516,High (>10),Stratovolcanoes
290390,Alaid,Russia,50.861,155.565,1.0,2018.0,20.0,16,2018-08-20,2018.6380858519487,2018.638127853881,High (>10),Stratovolcanoes
221112,Alayta,Ethiopia,12.888,40.573,2.0,1915.0,0.0,2,1915-00-00,1914.9166666666667,1915.0027397260276,Low (0-2),Shield
353040,Alcedo,Ecuador,-0.43,-91.12,1.0,1993.0,5.0,3,1993-12-05,1993.930354796321,1993.930365296804,Medium (3-10),Shield
352031,Aliso,Ecuador,-0.53,-78.0,2.0,-2450.0,0.0,1,2450-BCE-00-00,-2450.083333333333,-2449.9972602739726,Low (0-2),Stratovolcanoes
342040,Almolonga,Guatemala,14.797,-91.519,2.0,1891.0,0.0,6,1891-00-00,1890.9166666666667,1891.0027397260276,Medium (3-10),Stratovolcanoes
300450,Alney-Chashakondzha,Russia,56.656,159.647,2.0,1600.0,0.0,3,1600-00-00,1599.9166666666667,1600.0027397260274,Medium (3-10),Stratovolcanoes
